(c) 2008-2009 Pavel Surynek

id:4
V =
(0:0)[-1:0:0]
(1:0)[-1:0:0]
(2:0)[1:0:0]
(3:0)[13:0:0]
(4:0)[-1:0:0]
(5:0)[-1:0:0]
(6:0)[-1:0:0]
(7:0)[-1:0:0]
(8:0)[2:0:0]
(9:0)[14:0:0]
(10:0)[-1:0:0]
(11:0)[-1:0:0]
(12:0)[3:0:0]
(13:0)[15:0:0]
(14:0)[-1:0:0]
(15:0)[-1:0:0]
(16:0)[-1:0:0]
(17:0)[-1:0:0]
(18:0)[4:0:0]
(19:0)[16:0:0]
(20:0)[-1:0:0]
(21:0)[-1:0:0]
(22:0)[5:0:0]
(23:0)[17:0:0]
(24:0)[-1:0:0]
(25:0)[-1:0:0]
(26:0)[-1:0:0]
(27:0)[-1:0:0]
(28:0)[6:0:0]
(29:0)[18:0:0]
(30:0)[-1:0:0]
(31:0)[-1:0:0]
(32:0)[7:0:0]
(33:0)[19:0:0]
(34:0)[-1:0:0]
(35:0)[-1:0:0]
(36:0)[-1:0:0]
(37:0)[-1:0:0]
(38:0)[8:0:0]
(39:0)[20:0:0]
(40:0)[-1:0:0]
(41:0)[-1:0:0]
(42:0)[9:0:0]
(43:0)[21:0:0]
(44:0)[-1:0:0]
(45:0)[-1:0:0]
(46:0)[-1:0:0]
(47:0)[-1:0:0]
(48:0)[10:0:0]
(49:0)[22:0:0]
(50:0)[-1:0:0]
(51:0)[-1:0:0]
(52:0)[11:0:0]
(53:0)[23:0:0]
(54:0)[-1:0:0]
(55:0)[-1:0:0]
(56:0)[-1:0:0]
(57:0)[-1:0:0]
(58:0)[12:0:0]
(59:0)[24:0:0]
E =
{0,1} (0)
2 (2,12): 2 12 13 3  [13 3 ] {2 12 }
3 (3,13): 3 13 14 4  [14 4 ] {3 13 }
4 (4,14): 4 14 15 5  [15 5 ] {4 14 }
5 (5,15): 5 15 16 6  [16 6 ] {5 15 }
6 (6,16): 6 16 17 7  [17 7 ] {6 16 }
7 (7,17): 7 17 18 8  [18 8 ] {7 17 }
8 (8,18): 8 18 19 9  [19 9 ] {8 18 }
9 (10,11): 10 11 21 20  [21 20 ] {10 11 }
10 (20,21): 20 21 31 30  [31 30 ] {20 21 }
11 (30,31): 30 31 41 40  [41 40 ] {30 31 }
12 (40,41): 40 41 51 50  [51 50 ] {40 41 }
13 (12,21): 21 11 12 22  [22 ] {21 11 12 }
14 (22,31): 31 21 22 32  [32 ] {31 21 22 }
15 (32,41): 41 31 32 42  [42 ] {41 31 32 }
16 (42,51): 51 41 42 52  [52 ] {51 41 42 }
17 (13,22): 22 12 13 23  [23 ] {22 12 13 }
18 (23,32): 32 22 23 33  [33 ] {32 22 23 }
19 (33,42): 42 32 33 43  [43 ] {42 32 33 }
20 (43,52): 52 42 43 53  [53 ] {52 42 43 }
21 (14,23): 23 13 14 24  [24 ] {23 13 14 }
22 (24,33): 33 23 24 34  [34 ] {33 23 24 }
23 (34,43): 43 33 34 44  [44 ] {43 33 34 }
24 (44,53): 53 43 44 54  [54 ] {53 43 44 }
25 (15,24): 24 14 15 25  [25 ] {24 14 15 }
26 (25,34): 34 24 25 35  [35 ] {34 24 25 }
27 (35,44): 44 34 35 45  [45 ] {44 34 35 }
28 (45,54): 54 44 45 55  [55 ] {54 44 45 }
29 (16,25): 25 15 16 26  [26 ] {25 15 16 }
30 (26,35): 35 25 26 36  [36 ] {35 25 26 }
31 (36,45): 45 35 36 46  [46 ] {45 35 36 }
32 (46,55): 55 45 46 56  [56 ] {55 45 46 }
33 (17,26): 26 16 17 27  [27 ] {26 16 17 }
34 (27,36): 36 26 27 37  [37 ] {36 26 27 }
35 (37,46): 46 36 37 47  [47 ] {46 36 37 }
36 (47,56): 56 46 47 57  [57 ] {56 46 47 }
37 (18,27): 27 17 18 28  [28 ] {27 17 18 }
38 (28,37): 37 27 28 38  [38 ] {37 27 28 }
39 (38,47): 47 37 38 48  [48 ] {47 37 38 }
40 (48,57): 57 47 48 58  [58 ] {57 47 48 }
41 (19,28): 28 18 19 29  [29 ] {28 18 19 }
42 (29,38): 38 28 29 39  [39 ] {38 28 29 }
43 (39,48): 48 38 39 49  [49 ] {48 38 39 }
44 (49,58): 58 48 49 59  [59 ] {58 48 49 }
MOD =
M:IMMEDIATE
Solution
8 ---> 7 [0 ---> 0] (0)
18 ---> 17 [0 ---> 0] (0)
12 ---> 11 [0 ---> 0] (0)
28 ---> 27 [0 ---> 0] (0)
43 ---> 44 [0 ---> 0] (0)
48 ---> 47 [0 ---> 0] (0)
53 ---> 43 [0 ---> 0] (1)
9 ---> 8 [0 ---> 0] (1)
29 ---> 28 [0 ---> 0] (1)
19 ---> 18 [0 ---> 0] (1)
49 ---> 48 [0 ---> 0] (1)
47 ---> 37 [0 ---> 0] (1)
44 ---> 54 [0 ---> 0] (1)
43 ---> 44 [0 ---> 0] (2)
39 ---> 29 [0 ---> 0] (2)
37 ---> 36 [0 ---> 0] (2)
38 ---> 37 [0 ---> 0] (3)
36 ---> 26 [0 ---> 0] (3)
29 ---> 19 [0 ---> 0] (3)
33 ---> 43 [0 ---> 0] (3)
44 ---> 45 [0 ---> 0] (3)
54 ---> 44 [0 ---> 0] (4)
19 ---> 9 [0 ---> 0] (4)
45 ---> 46 [0 ---> 0] (4)
48 ---> 38 [0 ---> 0] (4)
43 ---> 33 [0 ---> 0] (4)
26 ---> 25 [0 ---> 0] (4)
27 ---> 26 [0 ---> 0] (5)
25 ---> 15 [0 ---> 0] (5)
42 ---> 43 [0 ---> 0] (5)
46 ---> 47 [0 ---> 0] (5)
44 ---> 34 [0 ---> 0] (5)
32 ---> 42 [0 ---> 0] (6)
34 ---> 35 [0 ---> 0] (6)
15 ---> 14 [0 ---> 0] (6)
47 ---> 48 [0 ---> 0] (6)
43 ---> 53 [0 ---> 0] (6)
37 ---> 27 [0 ---> 0] (6)
14 ---> 4 [0 ---> 0] (7)
22 ---> 32 [0 ---> 0] (7)
48 ---> 49 [0 ---> 0] (7)
42 ---> 41 [0 ---> 0] (7)
35 ---> 36 [0 ---> 0] (7)
58 ---> 48 [0 ---> 0] (8)
36 ---> 37 [0 ---> 0] (8)
23 ---> 22 [0 ---> 0] (8)
41 ---> 31 [0 ---> 0] (8)
52 ---> 42 [0 ---> 0] (8)
31 ---> 21 [0 ---> 0] (9)
59 ---> 58 [0 ---> 0] (9)
22 ---> 12 [0 ---> 0] (9)
26 ---> 36 [0 ---> 0] (9)
42 ---> 43 [0 ---> 0] (9)
33 ---> 23 [0 ---> 0] (9)
23 ---> 24 [0 ---> 0] (10)
27 ---> 26 [0 ---> 0] (10)
21 ---> 22 [0 ---> 0] (10)
49 ---> 59 [0 ---> 0] (10)
43 ---> 44 [0 ---> 0] (10)
28 ---> 27 [0 ---> 0] (11)
11 ---> 21 [0 ---> 0] (11)
53 ---> 43 [0 ---> 0] (11)
26 ---> 16 [0 ---> 0] (11)
13 ---> 23 [0 ---> 0] (11)
24 ---> 25 [0 ---> 0] (11)
48 ---> 49 [0 ---> 0] (11)
44 ---> 45 [0 ---> 0] (11)
45 ---> 46 [0 ---> 0] (12)
43 ---> 33 [0 ---> 0] (12)
21 ---> 20 [0 ---> 0] (12)
16 ---> 15 [0 ---> 0] (12)
58 ---> 48 [0 ---> 0] (12)
38 ---> 28 [0 ---> 0] (12)
25 ---> 26 [0 ---> 0] (12)
12 ---> 13 [0 ---> 0] (12)
13 ---> 14 [0 ---> 0] (13)
2 ---> 12 [0 ---> 0] (13)
15 ---> 5 [0 ---> 0] (13)
33 ---> 34 [0 ---> 0] (13)
20 ---> 21 [0 ---> 0] (13)
17 ---> 16 [0 ---> 0] (13)
37 ---> 38 [0 ---> 0] (13)
46 ---> 47 [0 ---> 0] (13)
12 ---> 11 [0 ---> 0] (14)
14 ---> 15 [0 ---> 0] (14)
23 ---> 33 [0 ---> 0] (14)
3 ---> 2 [0 ---> 0] (14)
27 ---> 17 [0 ---> 0] (14)
34 ---> 35 [0 ---> 0] (14)
38 ---> 39 [0 ---> 0] (14)
33 ---> 34 [0 ---> 0] (15)
22 ---> 23 [0 ---> 0] (15)
26 ---> 27 [0 ---> 0] (15)
48 ---> 38 [0 ---> 0] (15)
4 ---> 3 [0 ---> 0] (15)
23 ---> 24 [0 ---> 0] (16)
32 ---> 22 [0 ---> 0] (16)
49 ---> 48 [0 ---> 0] (16)
5 ---> 4 [0 ---> 0] (16)
16 ---> 26 [0 ---> 0] (16)
17 ---> 16 [0 ---> 0] (17)
26 ---> 25 [0 ---> 0] (17)
22 ---> 12 [0 ---> 0] (17)
39 ---> 49 [0 ---> 0] (17)
36 ---> 26 [0 ---> 0] (18)
16 ---> 6 [0 ---> 0] (18)
18 ---> 17 [0 ---> 0] (18)
38 ---> 39 [0 ---> 0] (18)
12 ---> 13 [0 ---> 0] (18)
35 ---> 36 [0 ---> 0] (19)
28 ---> 18 [0 ---> 0] (19)
48 ---> 38 [0 ---> 0] (19)
2 ---> 12 [0 ---> 0] (19)
15 ---> 16 [0 ---> 0] (19)
6 ---> 5 [0 ---> 0] (19)
36 ---> 37 [0 ---> 0] (20)
27 ---> 28 [0 ---> 0] (20)
25 ---> 15 [0 ---> 0] (20)
47 ---> 48 [0 ---> 0] (20)
3 ---> 2 [0 ---> 0] (20)
7 ---> 6 [0 ---> 0] (20)
17 ---> 7 [0 ---> 0] (21)
4 ---> 3 [0 ---> 0] (21)
15 ---> 14 [0 ---> 0] (21)
24 ---> 25 [0 ---> 0] (21)
48 ---> 58 [0 ---> 0] (21)
28 ---> 29 [0 ---> 0] (21)
34 ---> 24 [0 ---> 0] (22)
16 ---> 17 [0 ---> 0] (22)
14 ---> 4 [0 ---> 0] (22)
38 ---> 28 [0 ---> 0] (22)
6 ---> 16 [0 ---> 0] (23)
39 ---> 38 [0 ---> 0] (23)
13 ---> 14 [0 ---> 0] (23)
16 ---> 15 [0 ---> 0] (24)
7 ---> 6 [0 ---> 0] (24)
3 ---> 13 [0 ---> 0] (24)
29 ---> 39 [0 ---> 0] (24)
8 ---> 7 [0 ---> 0] (25)
13 ---> 23 [0 ---> 0] (25)
4 ---> 3 [0 ---> 0] (25)
26 ---> 16 [0 ---> 0] (25)
28 ---> 29 [0 ---> 0] (25)
23 ---> 22 [0 ---> 0] (26)
5 ---> 4 [0 ---> 0] (26)
18 ---> 8 [0 ---> 0] (26)
25 ---> 26 [0 ---> 0] (26)
38 ---> 28 [0 ---> 0] (26)
37 ---> 38 [0 ---> 0] (27)
15 ---> 5 [0 ---> 0] (27)
22 ---> 32 [0 ---> 0] (27)
17 ---> 18 [0 ---> 0] (27)
26 ---> 27 [0 ---> 0] (27)
12 ---> 22 [0 ---> 0] (28)
14 ---> 15 [0 ---> 0] (28)
18 ---> 19 [0 ---> 0] (28)
38 ---> 48 [0 ---> 0] (28)
32 ---> 31 [0 ---> 0] (28)
28 ---> 18 [0 ---> 0] (29)
4 ---> 14 [0 ---> 0] (29)
29 ---> 28 [0 ---> 0] (30)
5 ---> 4 [0 ---> 0] (30)
14 ---> 13 [0 ---> 0] (30)
19 ---> 29 [0 ---> 0] (31)
6 ---> 5 [0 ---> 0] (31)
24 ---> 14 [0 ---> 0] (31)
13 ---> 12 [0 ---> 0] (31)
18 ---> 19 [0 ---> 0] (32)
16 ---> 6 [0 ---> 0] (32)
28 ---> 18 [0 ---> 0] (33)
15 ---> 16 [0 ---> 0] (33)
18 ---> 17 [0 ---> 0] (34)
5 ---> 15 [0 ---> 0] (34)
27 ---> 28 [0 ---> 0] (34)
6 ---> 5 [0 ---> 0] (35)
28 ---> 38 [0 ---> 0] (35)
7 ---> 6 [0 ---> 0] (36)
17 ---> 7 [0 ---> 0] (37)
16 ---> 17 [0 ---> 0] (38)
15 ---> 16 [0 ---> 0] (39)
17 ---> 18 [0 ---> 0] (39)
18 ---> 28 [0 ---> 0] (40)
14 ---> 15 [0 ---> 0] (40)
19 ---> 18 [0 ---> 0] (41)
18 ---> 17 [0 ---> 0] (42)
9 ---> 19 [0 ---> 0] (42)
8 ---> 9 [0 ---> 0] (43)
7 ---> 8 [0 ---> 0] (44)
8 ---> 18 [0 ---> 0] (45)
6 ---> 7 [0 ---> 0] (45)
16 ---> 6 [0 ---> 0] (46)
9 ---> 8 [0 ---> 0] (46)
19 ---> 9 [0 ---> 0] (47)
17 ---> 16 [0 ---> 0] (47)
7 ---> 17 [0 ---> 0] (48)
18 ---> 19 [0 ---> 0] (48)
17 ---> 18 [0 ---> 0] (49)
6 ---> 7 [0 ---> 0] (49)
5 ---> 6 [0 ---> 0] (50)
7 ---> 17 [0 ---> 0] (50)
8 ---> 7 [0 ---> 0] (51)
15 ---> 5 [0 ---> 0] (51)
18 ---> 8 [0 ---> 0] (52)
16 ---> 15 [0 ---> 0] (52)
6 ---> 16 [0 ---> 0] (53)
15 ---> 14 [0 ---> 0] (53)
17 ---> 18 [0 ---> 0] (53)
5 ---> 15 [0 ---> 0] (54)
16 ---> 17 [0 ---> 0] (54)
7 ---> 6 [0 ---> 0] (54)
14 ---> 13 [0 ---> 0] (54)
8 ---> 7 [0 ---> 0] (55)
4 ---> 14 [0 ---> 0] (55)
15 ---> 16 [0 ---> 0] (55)
13 ---> 23 [0 ---> 0] (55)
6 ---> 5 [0 ---> 0] (55)
9 ---> 8 [0 ---> 0] (56)
3 ---> 13 [0 ---> 0] (56)
23 ---> 33 [0 ---> 0] (56)
5 ---> 4 [0 ---> 0] (56)
14 ---> 15 [0 ---> 0] (56)
19 ---> 9 [0 ---> 0] (57)
33 ---> 43 [0 ---> 0] (57)
4 ---> 3 [0 ---> 0] (57)
13 ---> 14 [0 ---> 0] (57)
3 ---> 13 [0 ---> 0] (58)
18 ---> 19 [0 ---> 0] (58)
43 ---> 53 [0 ---> 0] (58)
13 ---> 23 [0 ---> 0] (59)
17 ---> 18 [0 ---> 0] (59)
7 ---> 17 [0 ---> 0] (60)
23 ---> 33 [0 ---> 0] (60)
33 ---> 43 [0 ---> 0] (61)
8 ---> 7 [0 ---> 0] (61)
9 ---> 8 [0 ---> 0] (62)
7 ---> 6 [0 ---> 0] (62)
8 ---> 7 [0 ---> 0] (63)
6 ---> 5 [0 ---> 0] (63)
7 ---> 6 [0 ---> 0] (64)
5 ---> 4 [0 ---> 0] (64)
4 ---> 3 [0 ---> 0] (65)
6 ---> 5 [0 ---> 0] (65)
17 ---> 7 [0 ---> 0] (65)
5 ---> 4 [0 ---> 0] (66)
16 ---> 6 [0 ---> 0] (66)
18 ---> 17 [0 ---> 0] (66)
7 ---> 8 [0 ---> 0] (66)
3 ---> 13 [0 ---> 0] (66)
6 ---> 7 [0 ---> 0] (67)
17 ---> 16 [0 ---> 0] (67)
4 ---> 3 [0 ---> 0] (67)
8 ---> 9 [0 ---> 0] (67)
15 ---> 5 [0 ---> 0] (67)
13 ---> 23 [0 ---> 0] (67)
16 ---> 15 [0 ---> 0] (68)
7 ---> 17 [0 ---> 0] (68)
23 ---> 33 [0 ---> 0] (68)
14 ---> 4 [0 ---> 0] (68)
12 ---> 13 [0 ---> 0] (68)
15 ---> 14 [0 ---> 0] (69)
22 ---> 23 [0 ---> 0] (69)
23 ---> 22 [0 ---> 0] (70)
5 ---> 15 [0 ---> 0] (70)
22 ---> 12 [0 ---> 0] (71)
13 ---> 23 [0 ---> 0] (71)
15 ---> 16 [0 ---> 0] (71)
12 ---> 13 [0 ---> 0] (72)
2 ---> 12 [0 ---> 0] (73)
3 ---> 2 [0 ---> 0] (74)
13 ---> 3 [0 ---> 0] (75)
12 ---> 13 [0 ---> 0] (76)
2 ---> 12 [0 ---> 0] (77)
12 ---> 22 [0 ---> 0] (78)
13 ---> 12 [0 ---> 0] (79)
22 ---> 32 [0 ---> 0] (79)
12 ---> 22 [0 ---> 0] (80)
32 ---> 42 [0 ---> 0] (80)
14 ---> 13 [0 ---> 0] (80)
42 ---> 52 [0 ---> 0] (81)
13 ---> 12 [0 ---> 0] (81)
22 ---> 32 [0 ---> 0] (81)
4 ---> 14 [0 ---> 0] (81)
3 ---> 13 [0 ---> 0] (82)
32 ---> 42 [0 ---> 0] (82)
14 ---> 15 [0 ---> 0] (82)
12 ---> 22 [0 ---> 0] (82)
13 ---> 3 [0 ---> 0] (83)
31 ---> 32 [0 ---> 0] (83)
11 ---> 12 [0 ---> 0] (83)
3 ---> 4 [0 ---> 0] (84)
21 ---> 11 [0 ---> 0] (84)
12 ---> 13 [0 ---> 0] (84)
13 ---> 3 [0 ---> 0] (85)
11 ---> 0 [0 ---> 0] (85)
4 ---> 5 [0 ---> 0] (85)
0 ---> 2 [0 ---> 0] (86)
5 ---> 6 [0 ---> 0] (86)
3 ---> 4 [0 ---> 0] (86)
2 ---> 3 [0 ---> 0] (87)
15 ---> 5 [0 ---> 0] (87)
6 ---> 7 [0 ---> 0] (87)
16 ---> 15 [0 ---> 0] (88)
7 ---> 8 [0 ---> 0] (88)
17 ---> 7 [0 ---> 0] (89)
8 ---> 18 [0 ---> 0] (89)
15 ---> 14 [0 ---> 0] (89)
5 ---> 15 [0 ---> 0] (90)
14 ---> 13 [0 ---> 0] (90)
9 ---> 8 [0 ---> 0] (90)
13 ---> 12 [0 ---> 0] (91)
4 ---> 5 [0 ---> 0] (91)
19 ---> 9 [0 ---> 0] (91)
3 ---> 4 [0 ---> 0] (92)
18 ---> 19 [0 ---> 0] (92)
12 ---> 11 [0 ---> 0] (92)
5 ---> 6 [0 ---> 0] (92)
8 ---> 18 [0 ---> 0] (93)
11 ---> 10 [0 ---> 0] (93)
4 ---> 5 [0 ---> 0] (93)
10 ---> 1 [0 ---> 0] (94)
7 ---> 8 [0 ---> 0] (94)
18 ---> 17 [0 ---> 0] (94)
17 ---> 16 [0 ---> 0] (95)
8 ---> 18 [0 ---> 0] (95)
6 ---> 7 [0 ---> 0] (95)
5 ---> 6 [0 ---> 0] (96)
9 ---> 8 [0 ---> 0] (96)
7 ---> 17 [0 ---> 0] (96)
19 ---> 9 [0 ---> 0] (97)
15 ---> 5 [0 ---> 0] (97)
8 ---> 7 [0 ---> 0] (97)
5 ---> 4 [0 ---> 0] (98)
16 ---> 15 [0 ---> 0] (98)
18 ---> 19 [0 ---> 0] (98)
15 ---> 5 [0 ---> 0] (99)
17 ---> 18 [0 ---> 0] (99)
4 ---> 3 [0 ---> 0] (99)
3 ---> 2 [0 ---> 0] (100)
7 ---> 17 [0 ---> 0] (100)
18 ---> 8 [0 ---> 0] (100)
17 ---> 16 [0 ---> 0] (101)
6 ---> 7 [0 ---> 0] (101)
5 ---> 6 [0 ---> 0] (102)
7 ---> 17 [0 ---> 0] (102)
17 ---> 18 [0 ---> 0] (103)
16 ---> 17 [0 ---> 0] (104)
17 ---> 7 [0 ---> 0] (105)
7 ---> 17 [0 ---> 0] (106)
17 ---> 16 [0 ---> 0] (107)
16 ---> 15 [0 ---> 0] (108)
6 ---> 16 [0 ---> 0] (109)
15 ---> 5 [0 ---> 0] (109)
16 ---> 15 [0 ---> 0] (110)
5 ---> 6 [0 ---> 0] (110)
15 ---> 14 [0 ---> 0] (111)
6 ---> 5 [0 ---> 0] (111)
5 ---> 15 [0 ---> 0] (112)
14 ---> 4 [0 ---> 0] (112)
15 ---> 16 [0 ---> 0] (113)
4 ---> 5 [0 ---> 0] (113)
16 ---> 15 [0 ---> 0] (114)
15 ---> 14 [0 ---> 0] (115)
5 ---> 15 [0 ---> 0] (116)
14 ---> 4 [0 ---> 0] (116)
4 ---> 5 [0 ---> 0] (117)
15 ---> 14 [0 ---> 0] (117)
5 ---> 4 [0 ---> 0] (118)
14 ---> 13 [0 ---> 0] (118)
13 ---> 3 [0 ---> 0] (119)
4 ---> 14 [0 ---> 0] (119)
14 ---> 15 [0 ---> 0] (120)
3 ---> 4 [0 ---> 0] (120)
15 ---> 14 [0 ---> 0] (121)
14 ---> 13 [0 ---> 0] (122)
4 ---> 14 [0 ---> 0] (123)
13 ---> 3 [0 ---> 0] (123)
3 ---> 4 [0 ---> 0] (124)
14 ---> 13 [0 ---> 0] (124)
13 ---> 12 [0 ---> 0] (125)
4 ---> 3 [0 ---> 0] (125)
12 ---> 11 [0 ---> 0] (126)
3 ---> 13 [0 ---> 0] (126)
11 ---> 0 [0 ---> 0] (127)
2 ---> 12 [0 ---> 0] (127)
12 ---> 11 [0 ---> 0] (128)
0 ---> 2 [0 ---> 0] (128)
11 ---> 0 [0 ---> 0] (129)
13 ---> 12 [0 ---> 0] (129)
12 ---> 11 [0 ---> 0] (130)
2 ---> 12 [0 ---> 0] (131)
12 ---> 13 [0 ---> 0] (132)
0 ---> 2 [0 ---> 0] (132)
11 ---> 0 [0 ---> 0] (133)
13 ---> 3 [0 ---> 0] (133)
2 ---> 12 [0 ---> 0] (133)
0 ---> 2 [0 ---> 0] (134)
12 ---> 11 [0 ---> 0] (134)
11 ---> 10 [0 ---> 0] (135)
1 ---> 0 [0 ---> 0] (135)
2 ---> 12 [0 ---> 0] (135)
12 ---> 13 [0 ---> 0] (136)
0 ---> 11 [0 ---> 0] (136)
10 ---> 1 [0 ---> 0] (136)
1 ---> 0 [0 ---> 0] (137)
11 ---> 12 [0 ---> 0] (137)
12 ---> 2 [0 ---> 0] (138)
0 ---> 11 [0 ---> 0] (138)
11 ---> 12 [0 ---> 0] (139)
Length:408
