(c) 2008-2009 Pavel Surynek

id:3
V =
(0:0)[-1:0:0]
(1:0)[-1:0:0]
(2:0)[1:0:0]
(3:0)[13:0:0]
(4:0)[-1:0:0]
(5:0)[-1:0:0]
(6:0)[-1:0:0]
(7:0)[-1:0:0]
(8:0)[2:0:0]
(9:0)[14:0:0]
(10:0)[-1:0:0]
(11:0)[-1:0:0]
(12:0)[3:0:0]
(13:0)[15:0:0]
(14:0)[-1:0:0]
(15:0)[-1:0:0]
(16:0)[-1:0:0]
(17:0)[-1:0:0]
(18:0)[4:0:0]
(19:0)[16:0:0]
(20:0)[-1:0:0]
(21:0)[-1:0:0]
(22:0)[5:0:0]
(23:0)[17:0:0]
(24:0)[-1:0:0]
(25:0)[-1:0:0]
(26:0)[-1:0:0]
(27:0)[-1:0:0]
(28:0)[6:0:0]
(29:0)[18:0:0]
(30:0)[-1:0:0]
(31:0)[-1:0:0]
(32:0)[7:0:0]
(33:0)[19:0:0]
(34:0)[-1:0:0]
(35:0)[-1:0:0]
(36:0)[-1:0:0]
(37:0)[-1:0:0]
(38:0)[8:0:0]
(39:0)[20:0:0]
(40:0)[-1:0:0]
(41:0)[-1:0:0]
(42:0)[9:0:0]
(43:0)[21:0:0]
(44:0)[-1:0:0]
(45:0)[-1:0:0]
(46:0)[-1:0:0]
(47:0)[-1:0:0]
(48:0)[10:0:0]
(49:0)[22:0:0]
(50:0)[-1:0:0]
(51:0)[-1:0:0]
(52:0)[11:0:0]
(53:0)[23:0:0]
(54:0)[-1:0:0]
(55:0)[-1:0:0]
(56:0)[-1:0:0]
(57:0)[-1:0:0]
(58:0)[12:0:0]
(59:0)[24:0:0]
E =
{0,1} (0)
2 (2,12): 2 12 13 3  [13 3 ] {2 12 }
3 (3,13): 3 13 14 4  [14 4 ] {3 13 }
4 (4,14): 4 14 15 5  [15 5 ] {4 14 }
5 (5,15): 5 15 16 6  [16 6 ] {5 15 }
6 (6,16): 6 16 17 7  [17 7 ] {6 16 }
7 (7,17): 7 17 18 8  [18 8 ] {7 17 }
8 (8,18): 8 18 19 9  [19 9 ] {8 18 }
9 (10,11): 10 11 21 20  [21 20 ] {10 11 }
10 (20,21): 20 21 31 30  [31 30 ] {20 21 }
11 (30,31): 30 31 41 40  [41 40 ] {30 31 }
12 (40,41): 40 41 51 50  [51 50 ] {40 41 }
13 (12,21): 21 11 12 22  [22 ] {21 11 12 }
14 (22,31): 31 21 22 32  [32 ] {31 21 22 }
15 (32,41): 41 31 32 42  [42 ] {41 31 32 }
16 (42,51): 51 41 42 52  [52 ] {51 41 42 }
17 (13,22): 22 12 13 23  [23 ] {22 12 13 }
18 (23,32): 32 22 23 33  [33 ] {32 22 23 }
19 (33,42): 42 32 33 43  [43 ] {42 32 33 }
20 (43,52): 52 42 43 53  [53 ] {52 42 43 }
21 (14,23): 23 13 14 24  [24 ] {23 13 14 }
22 (24,33): 33 23 24 34  [34 ] {33 23 24 }
23 (34,43): 43 33 34 44  [44 ] {43 33 34 }
24 (44,53): 53 43 44 54  [54 ] {53 43 44 }
25 (15,24): 24 14 15 25  [25 ] {24 14 15 }
26 (25,34): 34 24 25 35  [35 ] {34 24 25 }
27 (35,44): 44 34 35 45  [45 ] {44 34 35 }
28 (45,54): 54 44 45 55  [55 ] {54 44 45 }
29 (16,25): 25 15 16 26  [26 ] {25 15 16 }
30 (26,35): 35 25 26 36  [36 ] {35 25 26 }
31 (36,45): 45 35 36 46  [46 ] {45 35 36 }
32 (46,55): 55 45 46 56  [56 ] {55 45 46 }
33 (17,26): 26 16 17 27  [27 ] {26 16 17 }
34 (27,36): 36 26 27 37  [37 ] {36 26 27 }
35 (37,46): 46 36 37 47  [47 ] {46 36 37 }
36 (47,56): 56 46 47 57  [57 ] {56 46 47 }
37 (18,27): 27 17 18 28  [28 ] {27 17 18 }
38 (28,37): 37 27 28 38  [38 ] {37 27 28 }
39 (38,47): 47 37 38 48  [48 ] {47 37 38 }
40 (48,57): 57 47 48 58  [58 ] {57 47 48 }
41 (19,28): 28 18 19 29  [29 ] {28 18 19 }
42 (29,38): 38 28 29 39  [39 ] {38 28 29 }
43 (39,48): 48 38 39 49  [49 ] {48 38 39 }
44 (49,58): 58 48 49 59  [59 ] {58 48 49 }
MOD =
M:TRANSITIVE
Solution
29 ---> 28 [0 ---> 0] (0)
39 ---> 29 [0 ---> 0] (0)
28 ---> 27 [0 ---> 0] (0)
18 ---> 17 [0 ---> 0] (0)
12 ---> 11 [0 ---> 0] (0)
9 ---> 8 [0 ---> 0] (0)
19 ---> 18 [0 ---> 0] (0)
8 ---> 7 [0 ---> 0] (0)
48 ---> 47 [0 ---> 0] (0)
49 ---> 48 [0 ---> 0] (0)
43 ---> 44 [0 ---> 0] (0)
53 ---> 43 [0 ---> 0] (0)
29 ---> 19 [0 ---> 0] (1)
43 ---> 44 [0 ---> 0] (1)
44 ---> 54 [0 ---> 0] (1)
33 ---> 43 [0 ---> 0] (1)
47 ---> 37 [0 ---> 0] (1)
22 ---> 32 [0 ---> 0] (2)
32 ---> 42 [0 ---> 0] (2)
42 ---> 43 [0 ---> 0] (2)
43 ---> 33 [0 ---> 0] (2)
37 ---> 36 [0 ---> 0] (2)
23 ---> 22 [0 ---> 0] (2)
54 ---> 44 [0 ---> 0] (2)
19 ---> 9 [0 ---> 0] (2)
44 ---> 45 [0 ---> 0] (2)
48 ---> 38 [0 ---> 0] (2)
38 ---> 37 [0 ---> 0] (2)
42 ---> 41 [0 ---> 0] (3)
43 ---> 53 [0 ---> 0] (3)
22 ---> 12 [0 ---> 0] (3)
33 ---> 23 [0 ---> 0] (3)
52 ---> 42 [0 ---> 0] (3)
45 ---> 46 [0 ---> 0] (3)
36 ---> 26 [0 ---> 0] (3)
44 ---> 34 [0 ---> 0] (3)
3 ---> 2 [0 ---> 0] (4)
37 ---> 27 [0 ---> 0] (4)
27 ---> 26 [0 ---> 0] (4)
34 ---> 35 [0 ---> 0] (4)
2 ---> 12 [0 ---> 0] (4)
12 ---> 13 [0 ---> 0] (4)
46 ---> 47 [0 ---> 0] (4)
42 ---> 43 [0 ---> 0] (4)
26 ---> 25 [0 ---> 0] (4)
41 ---> 31 [0 ---> 0] (4)
23 ---> 24 [0 ---> 0] (4)
13 ---> 23 [0 ---> 0] (4)
24 ---> 25 [0 ---> 0] (5)
25 ---> 15 [0 ---> 0] (5)
47 ---> 48 [0 ---> 0] (5)
31 ---> 21 [0 ---> 0] (5)
35 ---> 36 [0 ---> 0] (5)
43 ---> 44 [0 ---> 0] (5)
53 ---> 43 [0 ---> 0] (5)
11 ---> 21 [0 ---> 0] (6)
48 ---> 49 [0 ---> 0] (6)
12 ---> 11 [0 ---> 0] (6)
58 ---> 48 [0 ---> 0] (6)
59 ---> 58 [0 ---> 0] (6)
27 ---> 26 [0 ---> 0] (6)
43 ---> 33 [0 ---> 0] (6)
21 ---> 22 [0 ---> 0] (6)
28 ---> 27 [0 ---> 0] (6)
38 ---> 28 [0 ---> 0] (6)
36 ---> 37 [0 ---> 0] (6)
15 ---> 14 [0 ---> 0] (6)
26 ---> 36 [0 ---> 0] (6)
44 ---> 45 [0 ---> 0] (6)
21 ---> 20 [0 ---> 0] (7)
23 ---> 33 [0 ---> 0] (7)
13 ---> 14 [0 ---> 0] (7)
33 ---> 34 [0 ---> 0] (7)
14 ---> 4 [0 ---> 0] (7)
22 ---> 23 [0 ---> 0] (7)
45 ---> 46 [0 ---> 0] (7)
32 ---> 22 [0 ---> 0] (7)
26 ---> 16 [0 ---> 0] (7)
37 ---> 38 [0 ---> 0] (7)
49 ---> 59 [0 ---> 0] (7)
25 ---> 26 [0 ---> 0] (7)
48 ---> 49 [0 ---> 0] (7)
58 ---> 48 [0 ---> 0] (7)
17 ---> 16 [0 ---> 0] (8)
33 ---> 34 [0 ---> 0] (8)
27 ---> 17 [0 ---> 0] (8)
38 ---> 39 [0 ---> 0] (8)
23 ---> 24 [0 ---> 0] (8)
26 ---> 27 [0 ---> 0] (8)
48 ---> 38 [0 ---> 0] (8)
34 ---> 35 [0 ---> 0] (8)
49 ---> 48 [0 ---> 0] (8)
16 ---> 15 [0 ---> 0] (8)
22 ---> 12 [0 ---> 0] (8)
20 ---> 21 [0 ---> 0] (8)
46 ---> 47 [0 ---> 0] (8)
4 ---> 3 [0 ---> 0] (8)
48 ---> 38 [0 ---> 0] (9)
47 ---> 48 [0 ---> 0] (9)
39 ---> 49 [0 ---> 0] (9)
38 ---> 39 [0 ---> 0] (9)
16 ---> 26 [0 ---> 0] (9)
17 ---> 16 [0 ---> 0] (9)
12 ---> 13 [0 ---> 0] (9)
14 ---> 15 [0 ---> 0] (9)
18 ---> 17 [0 ---> 0] (9)
27 ---> 28 [0 ---> 0] (9)
28 ---> 18 [0 ---> 0] (9)
15 ---> 5 [0 ---> 0] (9)
2 ---> 12 [0 ---> 0] (9)
3 ---> 2 [0 ---> 0] (9)
39 ---> 38 [0 ---> 0] (10)
36 ---> 26 [0 ---> 0] (10)
28 ---> 29 [0 ---> 0] (10)
38 ---> 28 [0 ---> 0] (10)
26 ---> 25 [0 ---> 0] (10)
35 ---> 36 [0 ---> 0] (10)
16 ---> 6 [0 ---> 0] (10)
15 ---> 16 [0 ---> 0] (10)
5 ---> 4 [0 ---> 0] (10)
48 ---> 58 [0 ---> 0] (10)
25 ---> 15 [0 ---> 0] (11)
24 ---> 25 [0 ---> 0] (11)
4 ---> 3 [0 ---> 0] (11)
28 ---> 29 [0 ---> 0] (11)
16 ---> 17 [0 ---> 0] (11)
17 ---> 7 [0 ---> 0] (11)
7 ---> 6 [0 ---> 0] (11)
34 ---> 24 [0 ---> 0] (11)
6 ---> 5 [0 ---> 0] (11)
29 ---> 39 [0 ---> 0] (11)
36 ---> 37 [0 ---> 0] (11)
38 ---> 28 [0 ---> 0] (11)
15 ---> 14 [0 ---> 0] (12)
6 ---> 16 [0 ---> 0] (12)
7 ---> 6 [0 ---> 0] (12)
17 ---> 18 [0 ---> 0] (12)
37 ---> 38 [0 ---> 0] (12)
18 ---> 8 [0 ---> 0] (12)
8 ---> 7 [0 ---> 0] (12)
3 ---> 13 [0 ---> 0] (13)
14 ---> 4 [0 ---> 0] (13)
13 ---> 14 [0 ---> 0] (13)
28 ---> 18 [0 ---> 0] (13)
38 ---> 48 [0 ---> 0] (13)
26 ---> 16 [0 ---> 0] (13)
25 ---> 26 [0 ---> 0] (13)
16 ---> 15 [0 ---> 0] (13)
18 ---> 19 [0 ---> 0] (13)
29 ---> 28 [0 ---> 0] (13)
14 ---> 15 [0 ---> 0] (14)
13 ---> 23 [0 ---> 0] (14)
15 ---> 5 [0 ---> 0] (14)
19 ---> 29 [0 ---> 0] (14)
18 ---> 19 [0 ---> 0] (14)
26 ---> 27 [0 ---> 0] (14)
5 ---> 4 [0 ---> 0] (14)
28 ---> 18 [0 ---> 0] (14)
4 ---> 3 [0 ---> 0] (14)
15 ---> 16 [0 ---> 0] (15)
23 ---> 22 [0 ---> 0] (15)
18 ---> 17 [0 ---> 0] (15)
6 ---> 5 [0 ---> 0] (15)
4 ---> 14 [0 ---> 0] (15)
5 ---> 4 [0 ---> 0] (15)
16 ---> 6 [0 ---> 0] (15)
27 ---> 28 [0 ---> 0] (15)
24 ---> 14 [0 ---> 0] (16)
28 ---> 38 [0 ---> 0] (16)
12 ---> 22 [0 ---> 0] (16)
22 ---> 32 [0 ---> 0] (16)
5 ---> 15 [0 ---> 0] (16)
17 ---> 7 [0 ---> 0] (16)
7 ---> 6 [0 ---> 0] (16)
16 ---> 17 [0 ---> 0] (16)
6 ---> 5 [0 ---> 0] (16)
14 ---> 13 [0 ---> 0] (16)
14 ---> 15 [0 ---> 0] (17)
32 ---> 31 [0 ---> 0] (17)
15 ---> 16 [0 ---> 0] (17)
13 ---> 12 [0 ---> 0] (17)
17 ---> 18 [0 ---> 0] (17)
6 ---> 7 [0 ---> 0] (18)
16 ---> 6 [0 ---> 0] (18)
18 ---> 28 [0 ---> 0] (18)
19 ---> 18 [0 ---> 0] (18)
9 ---> 19 [0 ---> 0] (18)
7 ---> 8 [0 ---> 0] (18)
8 ---> 9 [0 ---> 0] (18)
18 ---> 17 [0 ---> 0] (19)
9 ---> 8 [0 ---> 0] (19)
19 ---> 9 [0 ---> 0] (19)
8 ---> 18 [0 ---> 0] (19)
18 ---> 19 [0 ---> 0] (20)
17 ---> 16 [0 ---> 0] (20)
7 ---> 17 [0 ---> 0] (20)
6 ---> 7 [0 ---> 0] (20)
5 ---> 6 [0 ---> 0] (20)
15 ---> 5 [0 ---> 0] (20)
7 ---> 17 [0 ---> 0] (21)
6 ---> 16 [0 ---> 0] (21)
8 ---> 7 [0 ---> 0] (21)
17 ---> 18 [0 ---> 0] (21)
16 ---> 15 [0 ---> 0] (21)
17 ---> 18 [0 ---> 0] (22)
7 ---> 6 [0 ---> 0] (22)
16 ---> 17 [0 ---> 0] (22)
5 ---> 15 [0 ---> 0] (22)
15 ---> 14 [0 ---> 0] (22)
18 ---> 8 [0 ---> 0] (22)
17 ---> 18 [0 ---> 0] (23)
9 ---> 8 [0 ---> 0] (23)
18 ---> 19 [0 ---> 0] (23)
19 ---> 9 [0 ---> 0] (23)
4 ---> 14 [0 ---> 0] (23)
15 ---> 16 [0 ---> 0] (23)
6 ---> 5 [0 ---> 0] (23)
8 ---> 7 [0 ---> 0] (23)
14 ---> 13 [0 ---> 0] (23)
8 ---> 7 [0 ---> 0] (24)
7 ---> 17 [0 ---> 0] (24)
9 ---> 8 [0 ---> 0] (24)
5 ---> 4 [0 ---> 0] (24)
3 ---> 13 [0 ---> 0] (24)
13 ---> 23 [0 ---> 0] (24)
14 ---> 15 [0 ---> 0] (24)
7 ---> 6 [0 ---> 0] (25)
23 ---> 33 [0 ---> 0] (25)
4 ---> 3 [0 ---> 0] (25)
13 ---> 14 [0 ---> 0] (25)
8 ---> 7 [0 ---> 0] (25)
17 ---> 7 [0 ---> 0] (26)
7 ---> 6 [0 ---> 0] (26)
18 ---> 17 [0 ---> 0] (26)
33 ---> 43 [0 ---> 0] (26)
6 ---> 5 [0 ---> 0] (26)
3 ---> 13 [0 ---> 0] (26)
17 ---> 16 [0 ---> 0] (27)
16 ---> 6 [0 ---> 0] (27)
6 ---> 5 [0 ---> 0] (27)
7 ---> 8 [0 ---> 0] (27)
43 ---> 53 [0 ---> 0] (27)
5 ---> 4 [0 ---> 0] (27)
13 ---> 23 [0 ---> 0] (27)
16 ---> 15 [0 ---> 0] (28)
15 ---> 5 [0 ---> 0] (28)
5 ---> 4 [0 ---> 0] (28)
6 ---> 7 [0 ---> 0] (28)
4 ---> 3 [0 ---> 0] (28)
8 ---> 9 [0 ---> 0] (28)
23 ---> 33 [0 ---> 0] (28)
15 ---> 14 [0 ---> 0] (29)
33 ---> 43 [0 ---> 0] (29)
5 ---> 15 [0 ---> 0] (29)
7 ---> 17 [0 ---> 0] (29)
4 ---> 3 [0 ---> 0] (29)
14 ---> 4 [0 ---> 0] (29)
3 ---> 13 [0 ---> 0] (29)
12 ---> 13 [0 ---> 0] (30)
15 ---> 16 [0 ---> 0] (30)
13 ---> 23 [0 ---> 0] (30)
23 ---> 33 [0 ---> 0] (31)
22 ---> 23 [0 ---> 0] (31)
23 ---> 22 [0 ---> 0] (32)
13 ---> 23 [0 ---> 0] (32)
22 ---> 12 [0 ---> 0] (33)
3 ---> 2 [0 ---> 0] (34)
12 ---> 13 [0 ---> 0] (34)
2 ---> 12 [0 ---> 0] (34)
2 ---> 12 [0 ---> 0] (35)
13 ---> 3 [0 ---> 0] (35)
12 ---> 13 [0 ---> 0] (35)
4 ---> 14 [0 ---> 0] (36)
14 ---> 13 [0 ---> 0] (36)
13 ---> 12 [0 ---> 0] (36)
12 ---> 22 [0 ---> 0] (36)
12 ---> 22 [0 ---> 0] (37)
14 ---> 15 [0 ---> 0] (37)
3 ---> 13 [0 ---> 0] (37)
13 ---> 12 [0 ---> 0] (37)
22 ---> 32 [0 ---> 0] (37)
21 ---> 11 [0 ---> 0] (38)
22 ---> 32 [0 ---> 0] (38)
32 ---> 42 [0 ---> 0] (38)
11 ---> 12 [0 ---> 0] (38)
13 ---> 3 [0 ---> 0] (38)
12 ---> 22 [0 ---> 0] (38)
12 ---> 13 [0 ---> 0] (39)
3 ---> 4 [0 ---> 0] (39)
32 ---> 42 [0 ---> 0] (39)
42 ---> 52 [0 ---> 0] (39)
31 ---> 32 [0 ---> 0] (39)
11 ---> 0 [0 ---> 0] (39)
13 ---> 3 [0 ---> 0] (40)
0 ---> 2 [0 ---> 0] (40)
4 ---> 5 [0 ---> 0] (40)
3 ---> 4 [0 ---> 0] (41)
2 ---> 3 [0 ---> 0] (41)
15 ---> 5 [0 ---> 0] (41)
16 ---> 15 [0 ---> 0] (41)
5 ---> 6 [0 ---> 0] (41)
5 ---> 15 [0 ---> 0] (42)
3 ---> 4 [0 ---> 0] (42)
15 ---> 14 [0 ---> 0] (42)
6 ---> 7 [0 ---> 0] (42)
4 ---> 5 [0 ---> 0] (42)
7 ---> 8 [0 ---> 0] (43)
14 ---> 13 [0 ---> 0] (43)
4 ---> 5 [0 ---> 0] (43)
17 ---> 7 [0 ---> 0] (43)
5 ---> 6 [0 ---> 0] (43)
13 ---> 12 [0 ---> 0] (44)
8 ---> 18 [0 ---> 0] (44)
9 ---> 8 [0 ---> 0] (44)
19 ---> 9 [0 ---> 0] (44)
12 ---> 11 [0 ---> 0] (45)
8 ---> 18 [0 ---> 0] (45)
18 ---> 19 [0 ---> 0] (45)
6 ---> 7 [0 ---> 0] (45)
5 ---> 6 [0 ---> 0] (45)
15 ---> 5 [0 ---> 0] (45)
7 ---> 8 [0 ---> 0] (45)
5 ---> 4 [0 ---> 0] (46)
19 ---> 9 [0 ---> 0] (46)
9 ---> 8 [0 ---> 0] (46)
8 ---> 18 [0 ---> 0] (46)
11 ---> 10 [0 ---> 0] (46)
18 ---> 17 [0 ---> 0] (46)
10 ---> 1 [0 ---> 0] (47)
4 ---> 3 [0 ---> 0] (47)
18 ---> 19 [0 ---> 0] (47)
7 ---> 17 [0 ---> 0] (47)
17 ---> 16 [0 ---> 0] (47)
8 ---> 7 [0 ---> 0] (47)
17 ---> 18 [0 ---> 0] (48)
7 ---> 17 [0 ---> 0] (48)
6 ---> 7 [0 ---> 0] (48)
3 ---> 2 [0 ---> 0] (48)
16 ---> 15 [0 ---> 0] (48)
17 ---> 16 [0 ---> 0] (49)
7 ---> 17 [0 ---> 0] (49)
18 ---> 8 [0 ---> 0] (49)
15 ---> 5 [0 ---> 0] (49)
16 ---> 17 [0 ---> 0] (50)
17 ---> 18 [0 ---> 0] (50)
5 ---> 6 [0 ---> 0] (50)
17 ---> 7 [0 ---> 0] (51)
7 ---> 17 [0 ---> 0] (52)
17 ---> 16 [0 ---> 0] (53)
16 ---> 15 [0 ---> 0] (54)
6 ---> 16 [0 ---> 0] (54)
15 ---> 5 [0 ---> 0] (55)
16 ---> 15 [0 ---> 0] (55)
5 ---> 6 [0 ---> 0] (56)
15 ---> 14 [0 ---> 0] (56)
6 ---> 5 [0 ---> 0] (57)
14 ---> 4 [0 ---> 0] (57)
5 ---> 15 [0 ---> 0] (58)
4 ---> 5 [0 ---> 0] (58)
15 ---> 16 [0 ---> 0] (59)
16 ---> 15 [0 ---> 0] (60)
15 ---> 14 [0 ---> 0] (61)
5 ---> 15 [0 ---> 0] (61)
14 ---> 4 [0 ---> 0] (62)
15 ---> 14 [0 ---> 0] (62)
4 ---> 5 [0 ---> 0] (63)
14 ---> 13 [0 ---> 0] (63)
5 ---> 4 [0 ---> 0] (64)
13 ---> 3 [0 ---> 0] (64)
3 ---> 4 [0 ---> 0] (65)
4 ---> 14 [0 ---> 0] (65)
14 ---> 15 [0 ---> 0] (66)
15 ---> 14 [0 ---> 0] (67)
4 ---> 14 [0 ---> 0] (68)
14 ---> 13 [0 ---> 0] (68)
13 ---> 3 [0 ---> 0] (69)
14 ---> 13 [0 ---> 0] (69)
3 ---> 4 [0 ---> 0] (70)
13 ---> 12 [0 ---> 0] (70)
2 ---> 12 [0 ---> 0] (71)
4 ---> 3 [0 ---> 0] (71)
12 ---> 11 [0 ---> 0] (71)
3 ---> 13 [0 ---> 0] (72)
11 ---> 0 [0 ---> 0] (72)
12 ---> 11 [0 ---> 0] (72)
11 ---> 0 [0 ---> 0] (73)
13 ---> 12 [0 ---> 0] (73)
0 ---> 2 [0 ---> 0] (73)
0 ---> 2 [0 ---> 0] (74)
12 ---> 11 [0 ---> 0] (74)
2 ---> 12 [0 ---> 0] (74)
2 ---> 12 [0 ---> 0] (75)
12 ---> 13 [0 ---> 0] (75)
11 ---> 0 [0 ---> 0] (75)
1 ---> 0 [0 ---> 0] (76)
13 ---> 3 [0 ---> 0] (76)
0 ---> 2 [0 ---> 0] (76)
12 ---> 11 [0 ---> 0] (76)
11 ---> 10 [0 ---> 0] (77)
2 ---> 12 [0 ---> 0] (77)
0 ---> 11 [0 ---> 0] (77)
10 ---> 1 [0 ---> 0] (78)
11 ---> 12 [0 ---> 0] (78)
12 ---> 13 [0 ---> 0] (78)
1 ---> 0 [0 ---> 0] (79)
12 ---> 2 [0 ---> 0] (79)
0 ---> 11 [0 ---> 0] (80)
11 ---> 12 [0 ---> 0] (81)
Length:408
